Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
243922,389006,193302.0,1,2026-09-17,2026-10-17,C08529,HOTELERIA SUSTENTABLE DEL PACIFICO,HOLIDAY INN EXPRESS GUAYMAS (GYMSO),560.88,0,89.74,650.62,0.0,68758339,,1,CJA,CALZADA AGUSTIN GARCIA LOPEZ  1298,LAS QUINTAS,GUAYMAS,SON,85448,Cobro Regreso,"GUAYMAS, SON.","CALZADA AGUSTIN GARCIA LOPEZ  1298, LAS QUINTAS, 85448, GUAYMAS, SON",,"CALLE MIGUEL ALEMAN 737   ZONA NORTE_x000D__x000D_CIUDAD OBREGON,85040, SON_x000D_MX",622 225 2504,HSP210914247
243923,holiday inn suites,193306.0,1,2026-09-17,2026-10-17,C05176,OPERAINNSUITES,HOLIDAY INN & SUITES LEON (BJXPM),643.77,0,103.0,746.77,0.0,68739022,,1,CJA,BOULEVARD ADOLFO LOPEZ MATEOS 2619 PTE,VILLAS DEL JUNCAL,LEON,GTO,37180,Cobro Regreso,"LEON, GTO.","BOULEVARD ADOLFO LOPEZ MATEOS 2619 PTE, VILLAS DEL JUNCAL, 37180, LEON, GTO",,"BOULEVARD ADOLFO LOPEZ MATEOS 2619 PTE   VILLAS DEL JUNCAL_x000D__x000D_LEON,37180, GTO_x000D_MX",477 775 5100,OPE1506185I6
243924,A.TP,193307.0,1,2026-09-17,2026-10-17,C02514,HOTEL ROYAL PLAZA,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),7258.68,0,1161.39,8420.07,0.0,68739022,,12,CJA,PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS,SANTA CRUZ ATOYAC,MEXICO,CMX,3310,One Paqueteria C.Regreso,"MEXICO, CMX.","PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS, SANTA CRUZ ATOYAC, 03310, MEXICO, CMX",,"AV CUAUHTEMOC 1361   SANTA CRUZ ATOYAC_x000D__x000D_MEXICO,03310, CMX_x000D_MX",55 9183 7739,HRP880129QX5
243926,300014025,189316.0,13,2026-09-17,2026-10-17,C02351,GILCHRIST & SOAMES,GILCHRIST & SOAMES,116638.36,0,0.0,116638.36,6800.0,2351-J152,EE BATHE 1.5OZ OAT S,200,CJA,"2425 E. PERRY ROAD, SUITE 150",TAX ID 26-0871731,PLAINFIELD,IN,46168,Exportacion,"PLAINFIELD, IN.","2425 E. PERRY ROAD, SUITE 150, TAX ID 26-0871731, 46168, PLAINFIELD, IN",,"2425 E. PERRY ROAD, SUITE 150_x000D_PLAINFIELD IN  46168_x000D_USA",317-786-8286,XEXX010101000
243927,HOLIDAY INN AMAREA EN ACAPULCO,193347.0,1,2026-09-17,2026-10-02,C06344,HOTELES ROMANO,LAILA HOTELS,1648.82,0,263.81,1912.63,0.0,68739022,,2,CJA,AV. COSTERA MIGUEL ALEMAN 2310,FRACC. COSTA AZUL,ACAPULCO,GRO,39840,Cobro Regreso,"ACAPULCO, GRO.","AV. COSTERA MIGUEL ALEMAN 2310, FRACC. COSTA AZUL, 39840, ACAPULCO, GRO",,"RIO LERMA 237 ANEXO A   CUAUHTEMOC_x000D__x000D_CDMX,06500, CMX_x000D_MX",55 5242 7750,HRO170316K20
243928,h.hab,194323.0,1,2026-09-17,2026-10-17,C02514,HOTEL ROYAL PLAZA,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),5444.01,0,871.04,6315.05,0.0,68739022,,9,CJA,PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS,SANTA CRUZ ATOYAC,MEXICO,CMX,3310,One Paqueteria C.Regreso,"MEXICO, CMX.","PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS, SANTA CRUZ ATOYAC, 03310, MEXICO, CMX",,"AV CUAUHTEMOC 1361   SANTA CRUZ ATOYAC_x000D__x000D_MEXICO,03310, CMX_x000D_MX",55 9183 7739,HRP880129QX5
243929,h.rtz,194324.0,1,2026-09-17,2026-10-17,C02514,HOTEL ROYAL PLAZA,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),2320.44,0,371.27,2691.71,0.0,69706958,,4,CJA,PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS,SANTA CRUZ ATOYAC,MEXICO,CMX,3310,One Paqueteria C.Regreso,"MEXICO, CMX.","PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS, SANTA CRUZ ATOYAC, 03310, MEXICO, CMX",,"AV CUAUHTEMOC 1361   SANTA CRUZ ATOYAC_x000D__x000D_MEXICO,03310, CMX_x000D_MX",55 9183 7739,HRP880129QX5
243931,OPERADORA ABACORY / HOLIDAY INN EXPRESS CUERNAVACA,193376.0,1,2026-09-17,2026-10-02,C09423,OPERADORA ABACORY,HOLIDAY INN EXPRESS & SUITES CUERNAVACA (CVJJH),3024.45,0,483.91,3508.36,0.0,68739022,,5,CJA,AVE. MORELOS SUR  133,LAS PALMAS,CUERNAVACA,MOR,62050,Cobro Regreso,"CUERNAVACA, MOR.","AVE. MORELOS SUR  133, LAS PALMAS, 62050, CUERNAVACA, MOR",,"AVE. MORELOS SUR 133   LAS PALMAS_x000D__x000D_CUERNAVACA,62050, MOR_x000D_MX",777 310 5333,OAB2410156T5
243932,,193399.0,1,2026-09-17,2026-10-02,C07043,OPERADORA DE ESTANCIAS CREATIVAS,HOLIDAY INN TUXTLA GUTIERREZ (TGZMX),3024.45,0,483.91,3508.36,0.0,68739022,,5,CJA,BLVD BELISARIO DOMINGUEZ KM  1081,JARDINES DE TUXTLA,TUXTLA,CHS,29020,Cobro Regreso,"TUXTLA, CHS.","BLVD BELISARIO DOMINGUEZ KM  1081, JARDINES DE TUXTLA, 29020, TUXTLA, CHS",,"BELISARIO DOMINGUEZ KM 1081   JARDINES DE TUXTLA_x000D__x000D_TUXTLA,29020, CHS_x000D_MX",961 617 1019,OEC180105ND5
243933,OPERADORA ABACORY / HOLIDAY INN EXPRESS CUERNAVACA,193426.0,1,2026-09-17,2026-10-02,C09423,OPERADORA ABACORY,HOLIDAY INN EXPRESS & SUITES CUERNAVACA (CVJJH),3629.34,0,580.69,4210.03,0.0,68739022,,6,CJA,AVE. MORELOS SUR  133,LAS PALMAS,CUERNAVACA,MOR,62050,Cobro Regreso,"CUERNAVACA, MOR.","AVE. MORELOS SUR  133, LAS PALMAS, 62050, CUERNAVACA, MOR",,"AVE. MORELOS SUR 133   LAS PALMAS_x000D__x000D_CUERNAVACA,62050, MOR_x000D_MX",777 310 5333,OAB2410156T5
243935,MIT M 133161/26,193930.0,1,2026-09-17,2026-12-16,C05558,HOTELERA PLAYA LITIBU,IBEROSTAR PUNTA MITA,15969.6,0,2555.14,18524.74,0.0,7294-L19,,20,CJA,CAMINO INGRESO A LITIBU LOTE #15,HIGUERA BLANCA,BAHIA DE BANDERAS,NAY,63734,Cobro Regreso,"BAHIA DE BANDERAS, NAY.","CAMINO INGRESO A LITIBU LOTE #15, HIGUERA BLANCA, 63734, BAHIA DE BANDERAS, NAY",,"CAMINO INGRESO A LITIBU LOTE #15   HIGUERA BLANCA_x000D__x000D_BAHIA DE BANDERAS,63734, NAY_x000D_MX",329-29-84-280,HPL040719KV5
243939,HOTEL HOLIDAY INN BOCA DEL RIO,194430.0,1,2026-09-17,2026-10-17,C01016,PROMOTORA HOTELERA DE VERACRUZ,HOLIDAY INN VERACRUZ (VCRMX),6961.32,0,1113.81,8075.13,0.0,69706958,,12,CJA,BLVD.ADOLFO RUIZ CORTINES 4298,FRACC COSTA DE ORO,BOCA DEL RIO,VER,94299,Cobro Regreso,"BOCA DEL RIO, VER.","BLVD.ADOLFO RUIZ CORTINES 4298, FRACC COSTA DE ORO, 94299, BOCA DEL RIO, VER",,"MORELOS 225   CENTRO_x000D__x000D_VERACRUZ,91700, VER_x000D_MX",229 923 2050 al 54,PHV980313PU8
243943,394973,193453.0,1,2026-09-17,2026-10-17,C08529,HOTELERIA SUSTENTABLE DEL PACIFICO,HOLIDAY INN EXPRESS GUAYMAS (GYMSO),2804.4,0,448.7,3253.1,0.0,68758339,,5,CJA,CALZADA AGUSTIN GARCIA LOPEZ  1298,LAS QUINTAS,GUAYMAS,SON,85448,Cobro Regreso,"GUAYMAS, SON.","CALZADA AGUSTIN GARCIA LOPEZ  1298, LAS QUINTAS, 85448, GUAYMAS, SON",,"CALLE MIGUEL ALEMAN 737   ZONA NORTE_x000D__x000D_CIUDAD OBREGON,85040, SON_x000D_MX",622 225 2504,HSP210914247
