Factura,RECOMENDACION,Transporte,DIRECCION,COSTO,Nombre_Cliente,Nombre_Extran,Quantity,DESTINO,FECHA DE ENVIO,ESTATUS,FECHA ACTUAL,SERVICIO,FECHA DE PROGRAMACION
242215,TRES GUERRAS,Cobro Regreso,"Blvd. John Spark 4, Reserva Territorial Duport Ostion, 96536, Coatzacoalcos, VER",65.0,HOTELERA DUPORT,HOLIDAY INN COATZACOALCOS (MTTCO),1,"Coatzacoalcos, VER.",,,,,10/08/2026
242216,LOCAL,Transporte LOCAL,"AV. FEDERALISMO #1940, SAN MIGUEL DE MEZQUITAN, 44260, GUADALAJARA, JAL",0.0,INMOBILIARIA CASTELAO,MOTEL ZENT,1,"GUADALAJARA, JAL.",,,,,10/08/2026
242217,TRES GUERRAS,Tres Guerras C.Destino,"CARRETERA SAN LUIS RIO VERDE KM. 127.5, CENTRO, 79610, RIO VERDE, SLP",60.0,GRUPO HOTELERO MARIA DOLORES DE RIOVERDE,HOTEL MARIA DOLORES DE RIO VERDE,5,"RIO VERDE, SLP.",,,,,10/08/2026
242220,LOCAL,Transporte LOCAL,"AV.LAZARO CARDENAS #340 INT A, ALAMO ORIENTE, 45560, TLAQUEPAQUE, JAL",0.0,HOTEL POSADA VIRREYES,HOTEL POSADA VIRREYES,1,"TLAQUEPAQUE, JAL.",,,,,10/08/2026
242221,TRES GUERRAS,Cobro Regreso,"BLVD.BENITO JUAREZ No.1342, COL.JARDINES DEL VALLE, 21270, MEXICALI, BC",3892.58,IMPULSORA PLAZA TIJUANA,CITY EXPRESS MEXICALI (CEMXL),1,"MEXICALI, BC.",10/08/2026 11:37,,,,10/08/2026
242222,TRES GUERRAS,Cobro Regreso,"AV. FRANCISCO I. MADERO 418 MEZZANINE 3, CENTRO, 86000, TABASCO, TAB",89.0,PROFIT RENTABILIDAD OPERATIVA,GAMMA VILLAHERMOSA (GVLCE),1,"TABASCO, TAB.",,,,,10/08/2026
242223,TRES GUERRAS,Cobro Destino,"AUTOPISTA TORREÓN SAN PEDRO #3303, VILLA LAS MARGARITAS, 27106, TORREON, COA",54.69,INMOBILIARIA VILLA JARDIN,WYNDHAM TORREON,1,"TORREON, COA.",,,,,10/08/2026
242227,TRES GUERRAS,Cobro Regreso,"BLVD.BERNARDO QUINTANA 4100-1, BALCON CAMPESTRE, 76100, QUERETARO, QUE",400.0,FIDEICOMISO IRREVOCABLE DB/1616,"HAMPTON QUERETARO TECNOLOGICO, MEXICO (QROHT)",1,"QUERETARO, QUE.",,,,,10/08/2026
242228,TRES GUERRAS,Cobro Destino,"BLVD. LUIS DONALDO COLOSIO 442-A, BENITO JUAREZ ORIENTE, 63175, TEPIC, NAY",54.69,NICANDRO ARELLANO BENAVIDES,MOTEL AMORE MIO,2,"TEPIC, NAY.",10/08/2026 11:37,,,,10/08/2026
242236,TRES GUERRAS,Cobro Regreso,"AV ISLA DE TRIS 57 B, PALMIRA, 25154, CIUDAD DEL CARMEN, CAM",62.69583333,OPERADORA HOTELERA DEL MANGLAR,COURTYARD BY MARRIOTT CIUDAD DEL CARMEN CAMPECHE A0093680,4,"CIUDAD DEL CARMEN, CAM.",,,,,10/08/2026
242237,TRES GUERRAS,Cobro Regreso,"CARRETERA SALTILLO-MONTERREY 6580-3, JARDINES COLONIALES, 25270, SALTILLO, COA",133.34,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS SALTILLO(SLWZO),40,"SALTILLO, COA.",,,,,10/08/2026
242238,TRES GUERRAS,Cobro Regreso,"CARRETERA SALTILLO-MONTERREY 6580-3, JARDINES COLONIALES, 25270, SALTILLO, COA",133.34,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS SALTILLO(SLWZO),1,"SALTILLO, COA.",,,,,10/08/2026
242239,PAQMEX,Cobro Regreso,"BLVD. ADOLFO LOPEZ MATEOS #890, SIERRA GORDA, 87050, VICTORIA, TAM",52.0,HOTELERIA Y SERVICIOS REFORMA,CITY EXPRESS CIUDAD VICTORIA (CECVM),2,"VICTORIA, TAM.",,,,,10/08/2026
242240,TRES GUERRAS,Cobro Destino,"KM.2.5 CARRETERA LA PIEDAD, MARGARITAS, 59300, LA PIEDAD, MCH",400.0,HOTELERA BAJO LERMA,HOLIDAY INN LA PIEDAD (LPDEX),2,"LA PIEDAD, MCH.",,,,,10/08/2026
242241,TRES GUERRAS,Cobro Regreso,"JUAREZ 70, CENTRO, 06010, DELEGACION CUAUHTEMOC, CMX",60.0,OPERADORA HOTEL CENTRO HISTORICO,"HILTON MEXICO CITY/REFORMA, MEXICO (MEXRF)",5,"DELEGACION CUAUHTEMOC, CMX.",,,,,10/08/2026
242243,ONE,Cobro Regreso,"AV FUNDADORES #1000, VALLE DEL MIRADOR, 64750, MONTERREY, NL",51.36571429,MONTERREY HOSPITALITY SERVICES,"HILTON MONTERREY VALLE, MEXICO (MTYVO",2,"MONTERREY, NL.",10/08/2026 11:37,,,,10/08/2026
242244,ONE,Cobro Regreso,"AV MIGUEL ALEMAN 5331, CERRADAS DE LINDA VISTA, 67130, GUADALUPE, NL",60.0,SINERGIA INMOBILIARIA DE MEXICO,CITY EXPRESS MONTERREY LINDAVISTA (CEMTL),1,"GUADALUPE, NL.",10/08/2026 11:37,,,,10/08/2026
242245,ONE,Cobro Regreso,"AV. SAN JERONIMO #311, SAN JERÓNIMO, 05348, MONTERREY, NL",51.36571429,IMPULSORA PLAZA JUAREZ,CITY EXPRESS PLUS MONTERREY GALERIAS  (CPMSJ),7,"MONTERREY, NL.",10/08/2026 11:37,,,,10/08/2026
242246,TRES GUERRAS,Cobro Regreso,"CALZADA HEROES DE CHAPULTEPEC No.1700, FRACC. CIUDAD ARGENTUM, 98047, ZACATECAS, ZAC",60.0,IMPULSORA PLAZA DE ZACATECAS,CITY EXPRESS ZACATECAS (CEZCL),2,"ZACATECAS, ZAC.",10/08/2026 11:37,,,,10/08/2026
242248,TRES GUERRAS,Cobro Regreso,"AVE. DEL MAR #1223, TELLERIA, 82017, MAZATLAN, SIN",51.37931034,OPERADORA DE HOTELES AVANTTI,HOLIDAY INN EXPRESS MAZATLAN,1,"MAZATLAN, SIN.",,,,,10/08/2026
242249,TRES GUERRAS,Cobro Destino,"CALLE 12 NO. 226, COSTA VERDE, 94294, BOCA DEL RIO, VER",2306.95,FCH CLIPPERTON,HOTEL & SUITES CLIPPERTON,4,"BOCA DEL RIO, VER.",10/08/2026 11:37,,,,10/08/2026
242250,TRES GUERRAS,Cobro Regreso,"AV. MILIMEX No. 120, PARQUE INDUSTRIAL MILIMEX, 66637, APODACA, NL",60.0,PROMOTORA DEVI,HOLIDAY INN & SUITES MONTERREY APODACA (MTYMI),5,"APODACA, NL.",,,,,10/08/2026
242251,TRES GUERRAS,Cobro Regreso,"AV. EJERCITO NACIONAL #769 TORRE B INT PISO 14, GRANADA, 11520, MIGUEL HIDALGO, CMX",100.0,SERVICIOS HOTELEROS ICP,PRESIDENTE INTERCONTINENTAL MIYANA,5,"MIGUEL HIDALGO, CMX.",,,,,10/08/2026
242252,TRES GUERRAS,Cobro Regreso,"AVENIDA CENTRAL PONIENTE 1254, EL MAGUEY, 29000, TUXTLA, CHS",52.0,OPERADORA DE ESTANCIAS CREATIVAS,HOLIDAY INN EXPRESS TUXTLA GUTIERREZ LA MARIMBA (TGZRF),1,"TUXTLA, CHS.",,,,,10/08/2026
242253,TINY PACK OCURRE,Tiny Pack C Ocurre Oficina,"SOLIDARIDAD #101, LA LABOR, 33029, DELICIAS, CHI",55.69,MARCOS ALFREDO RAMOS SANDOVAL,MARCOS ALFREDO RAMOS SANDOVAL,1,"DELICIAS, CHI.",,,,,10/08/2026
242254,TRES GUERRAS,Cobro Regreso,"CAMINO A LAS 3 CRUCES 149, SALTITO DE GUADALUPE, 37760, SAN MIGUEL DE ALLENDE, GTO",133.34,OPERADORA TURISTICA OMV,"TAPESTRY COLLECTION BY HILTON ALBOR SAN MIGUEL DE ALLENDE, MEXICO (BJXUP)",1,"SAN MIGUEL DE ALLENDE, GTO.",,,,,10/08/2026
242255,LOCAL,Transporte LOCAL,"AV. PUNTO SUR 235, LOS GAVILANES, 45645, TLAJOMULCO DE ZUÑIGA, JAL",0.0,INMO F,ALOFT GUADALAJARA SUR (GDLPU 5528),3,"TLAJOMULCO DE ZUÑIGA, JAL.",,,,,10/08/2026
242257,TRES GUERRAS,Cobro Regreso,"INDEPENDENCIA 100 A, LA RIVERA, 92870, TUXPAN, VER",89.0,HOTELES VERACRUZ TUXPAN,COURTYARD TUXPAN,1,"TUXPAN, VER.",,,,,10/08/2026
242258,TRES GUERRAS,Cobro Regreso,"BLVD.MANUEL AVILA CAMACHO No. 707, FLORES MAGON, 91900, VERACRUZ, VER",445.0,INMOBILIARIA CIDRAS,"DOUBLETREE VERACRUZ, MEXICO ((VERMA)",8,"VERACRUZ, VER.",,,,,10/08/2026
242259,TRES GUERRAS,Cobro Regreso,"CARRETERA FEDERAL 307 KM 333 850, , 77569, CANCUN, QR",84.0,HOSPITALITY SERVICES MAYA,"HILTON CANCUN AN ALL-INCLUSIVE RESORT, MEXICO (CUNQR)",2,"CANCUN, QR.",,,,,10/08/2026
242260,TRES GUERRAS,Cobro Regreso,"BLVD.MANUEL AVILA CAMACHO No. 707, FLORES MAGON, 91900, VERACRUZ, VER",445.0,INMOBILIARIA CIDRAS,"DOUBLETREE VERACRUZ, MEXICO ((VERMA)",8,"VERACRUZ, VER.",,,,,10/08/2026
242261,LOCAL,Transporte LOCAL,"AV.CAMINO AL ITESO 8650-A10 E/SIERRA MAZAMITLA, EL MANTE, 45601, ZAPOPAN, JAL",0.0,INVERHOTELES,HOLIDAY INN EXPRESS GUADALAJARA ITESO (GDLIT),2,"ZAPOPAN, JAL.",,,,,10/08/2026
242262,TRES GUERRAS,Cobro Regreso,"LOTE 12, MANZANA 25 DEL PREDIO DENOMINADO, ENSENADA BLANCA, 23895, LORETO, BCS",113.86,OPERADORA BAHIA DE LORETO,VILLAS DEL PALMAR LORETO,10,"LORETO, BCS.",10/08/2026 11:37,,,,10/08/2026
242263,SANCHEZ,Cobro Regreso,"AVENIDA PASEO COCOTEROS No.750 SUR, FLAMINGOS, 63732, NUEVO VALLARTA, NAY",92.2325,OPERADORA PALMAR VALLARTA,VILLAS DEL PALMAR FLAMINGOS,1,"NUEVO VALLARTA, NAY.",,,,,10/08/2026
242264,TRES GUERRAS,Cobro Regreso,"Rio Misisipi # 58, Cuauhtemoc Delegación cuauhtémoc, 06500, Ciudad de Mexico, CMX",102.6333333,BOTANICAROMATICA,XINU,1,"Ciudad de Mexico, CMX.",,,,,10/08/2026
242265,TRES GUERRAS,Cobro Regreso,"Rio Misisipi # 58, Cuauhtemoc Delegación cuauhtémoc, 06500, Ciudad de Mexico, CMX",102.6333333,BOTANICAROMATICA,XINU,1,"Ciudad de Mexico, CMX.",,,,,10/08/2026
242266,TRES GUERRAS,Cobro Regreso,"Rio Misisipi # 58, Cuauhtemoc Delegación cuauhtémoc, 06500, Ciudad de Mexico, CMX",102.6333333,BOTANICAROMATICA,XINU,1,"Ciudad de Mexico, CMX.",,,,,10/08/2026
242267,LOCAL,Transporte LOCAL,"AV.16 DE SEPTIEMBRE # 16  ZONA CENTRO, ZONA CENTRO, 44100, GUADALAJARA, JAL",0.0,DESARROLLADORA HOTELERA VAR,ONE GUADALAJARA CENTRO HISTORICO (1GDCE),2,"GUADALAJARA, JAL.",,,,,11/08/2026
242268,LOCAL,Transporte LOCAL,"AVENIDA DE LAS ROSAS 2911, FRACC. RINCONADA DEL BOSQUE, 44530, GUADALAJARA, JAL",0.0,HOTEL EXPO,HOTEL WESTIN GUADALAJARA A0096864,1,"GUADALAJARA, JAL.",,,,,11/08/2026
242269,TRES GUERRAS,Cobro Regreso,"BOULEVARD EVERARDO MARQUEZ #100, CUESCO, 42080, PACHUCA, HID",60.0,OPERAJOYA,HOTEL LA JOYA,1,"PACHUCA, HID.",,,,,11/08/2026
242270,CLIENTE PASA,Cliente Pasa por Mercancia,"AVENIDA FUERZA AEREA MEXICANA LOTE 3, OTRA NO ESPECIFICADA, 40989, COYUCA DE BENITEZ, GRO",0.0,HOTEL BOUTIQUE DEL MAR,HOTEL MAREE,1,"COYUCA DE BENITEZ, GRO.",,,,,11/08/2026
242271,TRES GUERRAS,Cobro Regreso,"BLVD. ADOLFO LOPEZ MATEOS ORIENTE 1250, LAS INSURGENTES, 38080, CELAYA, GTO",100.0,ZIG INMOBILIARIA DELGADO,REAL INN CELAYA,3,"CELAYA, GTO.",,,,,11/08/2026
242273,TRES GUERRAS,Cobro Regreso,"BOULEVARD ATLIXCAYOTL 2528, RESERVA TERRITORIAL ATLIXCAYOTL, 72830, SAN ANDRES, PUE",60.0,OPERADORA TURISTICA SEBASTOPOL,"HILTON GARDEN INN PUEBLA ANGELÓPOLIS, MEXICO (PBCGI)",1,"SAN ANDRES, PUE.",,,,,11/08/2026
242277,ONE,Cobro Regreso,"AV ALFONSO REYES 550, REGINA, 64240, MONTERREY, NL",51.36571429,IMPULSORA PLAZA TIJUANA,CITY EXPRESS MONTERREY UNIVERSIDAD (CEMTS),1,"MONTERREY, NL.",,,,,11/08/2026
242278,TRES GUERRAS,Cobro Regreso,"BLVD BENITO JUAREZ 4, BAHIA DE TANGOLUNDA, 70989, HUATULCO, OAX",779.77,OPERADORA BAHIA DE TANGOLUNDA,DREAMS HUATULCO (DREHU)   A0099149,4,"HUATULCO, OAX.",,,,,11/08/2026
242279,LOCAL,Transporte LOCAL,"SOLIDARIDAD 7012 A, LAS PINTAS, 45690, EL SALTO, JAL",0.0,EMPRESAS OPTIMA,HOLIDAY INN EXPRESS GUADALAJARA AEROPUERTO (HIG),6,"EL SALTO, JAL.",,,,,11/08/2026
242281,TRES GUERRAS,Cobro Regreso,"BOULEVARD ATLIXCAYOTL 2528, RESERVA TERRITORIAL ATLIXCAYOTL, 72830, SAN ANDRES, PUE",60.0,OPERADORA TURISTICA SEBASTOPOL,"HILTON GARDEN INN PUEBLA ANGELÓPOLIS, MEXICO (PBCGI)",4,"SAN ANDRES, PUE.",,,,,11/08/2026
242282,TRES GUERRAS,Cobro Regreso,"CARRET.MIGUEL ALEMAN 238 ESQ.CON OLIMPIA, NUEVA LINDA VISTA, 67110, GUADALUPE, NL",60.0,DESARROLLOS INMOBILIARIOS MALSA,QUALITY INN MONTERREY LA FE (143216),5,"GUADALUPE, NL.",,,,,11/08/2026
242283,TRES GUERRAS,Cobro Regreso,"CARRET.MIGUEL ALEMAN 238 ESQ.CON OLIMPIA, NUEVA LINDA VISTA, 67110, GUADALUPE, NL",60.0,DESARROLLOS INMOBILIARIOS MALSA,QUALITY INN MONTERREY LA FE (143216),40,"GUADALUPE, NL.",,,,,11/08/2026
242284,PAQMEX,Cobro Regreso,"BOULEVARD TAMAULIPAS 2539, RESIDENCIAL CABAÑAS VICTORIA, 87025, VICTORIA, TAM",52.0,HOTELERA CARCUR CASTAÑEDA,"HAMPTON CIUDAD VICTORIA, MEXICO (CDJVC)",6,"VICTORIA, TAM.",,,,,11/08/2026
242285,LOCAL,Transporte LOCAL,"AVENIDA DE LAS ROSAS 3030, CAMPO POLO CHAPALITA, 44500, ZAPOPAN, JAL",0.0,TORRE CHAPALITA,"HAMPTON GUADALAJARA/EXPO, MEXICO (GDLEX)",1,"ZAPOPAN, JAL.",,,,,11/08/2026
242286,TRES GUERRAS,Cobro Regreso,"CAMINO AL AEROPUERTO 590, RINCONADA DE LOS MAGUEYES, 78100, SAN LUIS POTOSI, SLP",60.0,ADMINISTRADORA INN POTOSINA,RADISSON SAN LUIS POTOSI AEROPUERTO (148705),3,"SAN LUIS POTOSI, SLP.",,,,,11/08/2026
242287,ONE,Cobro Regreso,"JOSE MARIA CHAVEZ  #101, CENTRO, 20000, AGUASCALIENTES, AGS",50.42,OPERADORA RIO GRANDE,QUALITY INN AGUASCALIENTES (143211),1,"AGUASCALIENTES, AGS.",,,,,11/08/2026
242289,TRES GUERRAS,Cobro Regreso,"BLVD.MANUEL AVILA CAMACHO No. 707, FLORES MAGON, 91900, VERACRUZ, VER",445.0,INMOBILIARIA CIDRAS,"DOUBLETREE VERACRUZ, MEXICO ((VERMA)",5,"VERACRUZ, VER.",,,,,11/08/2026
242291,LOCAL,Transporte LOCAL,"AV.CORONA # 160, ZONA CENTRO, 44100, GUADALAJARA, JAL",0.0,OPERADORA JAMAS,HOTEL FENIX,3,"GUADALAJARA, JAL.",,,,,11/08/2026
242292,TRES GUERRAS,Tres Guerras Ocurre Oficina,"CALLE FRANCIA 1100, VICENTE GUERRERO, 89580, CUIDAD DE MEXICO, TAM",0.0,JAVIER RODOLFO MONTIEL LUNA,JAVIER RODOLFO MONTIEL LUNA,6,"CUIDAD DE MEXICO, TAM.",,,,,11/08/2026
242294,LOCAL,Transporte LOCAL,"CALLE ASIS #776, ITALIA PROVIDENCIA, 44658, GUADALAJARA, JAL",0.0,LAPSO AT,ALARCON PERSE,1,"GUADALAJARA, JAL.",,,,,11/08/2026
242295,TINY PACK,Cobro Destino,"AUTOPISTA TORREÓN SAN PEDRO #3303, VILLA LAS MARGARITAS, 27106, TORREON, COA",54.69,INMOBILIARIA VILLA JARDIN,WYNDHAM TORREON,1,"TORREON, COA.",,,,,11/08/2026
242296,TINY PACK,Cobro Destino,"AUTOPISTA TORREÓN SAN PEDRO #3303, VILLA LAS MARGARITAS, 27106, TORREON, COA",54.69,INMOBILIARIA VILLA JARDIN,WYNDHAM TORREON,3,"TORREON, COA.",,,,,11/08/2026
242297,TRES GUERRAS,Tres Guerras C.Regreso,"CARRETERA FEDERAL LIBRE TRANSPENINSULAR SAN LUCAS -SAN JOSE MARGEN DERECHO KM 19.5, CABO REAL, 23400, SAN JOSE DEL CABO, BCS",247.36,FIDEICOMISO HLC OPERADOR FID/2986,HILTON GRAND VACATIONS LA PACIFICA LOS CABOS BY HILTON CLUB (SJDGV),10,"SAN JOSE DEL CABO, BCS.",,,,,11/08/2026
242298,TRES GUERRAS,Cobro Regreso,"CALLE PASEO MALECON LOTE 11, FONATUR LOS CABOS, 23400, SAN JOSE DEL CABO, BCS",247.36,AHC PROFESSIONALS,"HILTON GRAND VACATIONS CABO AZUL, MX (SJDCA)",1,"SAN JOSE DEL CABO, BCS.",,,,,11/08/2026
242299,ONE,Cobro Regreso,"CIRCUITO JUAN PABLO II 1936, EX HACIENDA LA NORIA, 72410, PUEBLA, PUE",153.75,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN PUEBLA LA NORIA (PUELN),1,"PUEBLA, PUE.",,,,,11/08/2026
242300,TRES GUERRAS,Cobro Regreso,"BAHIA CABO SAN LUCAS KM.4.5, CAMINO A SN JOSE DE CABO, 23410, CABO SAN LUCAS, BCS",987.15,MX RIUSA II,RIU PALACE CABO SAN LUCAS,1,"CABO SAN LUCAS, BCS.",,,,,11/08/2026
242301,REVISIÓN MANUAL,Cobro Destino,"BLVD. ISSSTE #3, ZACATIPAN, 79981, TAMAZUNCHALE, SLP",0.0,FRANCISCO FELIU ZERON,FRANCISCO FELIU ZERON,1,"TAMAZUNCHALE, SLP.",,,,,11/08/2026
242303,LOCAL,Transporte LOCAL,"AV LOPEZ MATEOS SUR 1710 F-1, SANTA ISABEL, 45645, TLAJOMULCO DE ZUÑIGA, JAL",0.0,HOTELERA OMS,MICROTEL GUADALAJARA SUR,1,"TLAJOMULCO DE ZUÑIGA, JAL.",,,,,11/08/2026
242305,TRES GUERRAS,Cobro Regreso,"PORTAL BRAVO 14, CENTRO, 37000, LEON, GTO",60.0,HOTELES MODERNOS,RAMADA PLAZA LEON,1,"LEON, GTO.",,,,,11/08/2026
242306,TINY PACK,Cobro Regreso,"PLAYA GAVIOTA #420, ZONA DORADA, 82110, MAZATLAN, SIN",51.37931034,DESARROLLOS TURISTICOS CLAMI,HOLIDAY INN MAZATLAN (MZTRS),3,"MAZATLAN, SIN.",,,,,11/08/2026
242307,TRES GUERRAS,Cobro Regreso,"AV REAL DE LOMAS 1000, LAS LOMAS 4A SECCION, 78218, SAN LUIS POTOSI, SLP",60.0,HOSPITALIDAD REAL DE LOMAS,"HILTON SAN LUIS POTOSI, MEXICO (SLPHH)",3,"SAN LUIS POTOSI, SLP.",,,,,11/08/2026
242308,ONE,Cobro Regreso,"JAMES SULLIVAN #35, SAN RAFAEL, 06470, CIUDAD DE MEXICO, CMX",102.6333333,IMPULSORA PLAZA TIJUANA,CITY JUNIOR SULLIVAN (CJSUL),4,"CIUDAD DE MEXICO, CMX.",,,,,11/08/2026
242309,PAQMEX,Cobro Regreso,"CARR. MONTERREY SALTILLO #1135, PUERTA DE LAS MITRAS, 66350, SANTA CATARINA, NL",141.25,IMPULSORA PLAZA JUAREZ,CITY EXPRESS MONTERREY SANTA CATARINA (CEMTY),4,"SANTA CATARINA, NL.",,,,,11/08/2026
242310,TRES GUERRAS,Cobro Regreso,"MANUEL J. CLOUTHIER #451-5, MARIA ISABEL, 32600, CD JUAREZ, CHI",52.0,ADRIANA ALVAREZ ALVAREZ,INSUMOS DEL NORTE,1,"CD JUAREZ, CHI.",,,,,11/08/2026
