Factura,Almacen,Fecha_Conta,Cliente,Nombre_Cliente,Nombre_Extran,Domicilio,Colonia,Cuidad,Estado,CP,CAJAS,SURTIDOR,PAQUETERIA,FECHA,INCIDENCIA
657,1,2026-02-10,C09193,ESTRATEGIAS METROMEX,HOLIDAY INN TULUM (TUYDT),AV. COBA SUR LOTE 1 MZA 018 REGION 004,CENTRO,MUNICIPIO DE TULUM,QR,77760,1,,,,
661,1,2026-02-19,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,1,,,,
234464,3,2026-02-09,C03616,REPRESENTACIONES TURISTICAS MEXICO,BAHIA PRINCIPE,Entre Calle HOTEL OASIS AKUMAL Y Calle HACIENDA DOÑA ISABEL SN,Akumal,Tulum,QR,77776,5,,,,
234465,3,2026-02-09,C03616,REPRESENTACIONES TURISTICAS MEXICO,BAHIA PRINCIPE,Entre Calle HOTEL OASIS AKUMAL Y Calle HACIENDA DOÑA ISABEL SN,Akumal,Tulum,QR,77776,93,,,,
234466,1,2026-02-09,C08507,OPERADORA TURISTICA SEBASTOPOL,"HAMPTON VERACRUZ BOCA DEL RIO, VERACRUZ, MEXICO (VERAC)",BLVD A RUIZ CORTINES 3533,FRACC DE LAS AMERICA,BOCA DEL RIO,VER,94299,4,,,,
234467,3,2026-02-09,C08244,SPCH CIUDAD DEL CARMEN,CITY EXPRESS PLUS CANCUN AEROPUERTO RIVIERA  (CPCHC),"CARRETERA FEDERAL CANCUN PUERTO – MORELOS, KM 21, MZ-01 L-1-22, UPE UC - 05",SM 47,CANCUN,QR,77506,5,,,,
234468,1,2026-02-09,C08546,GRUPO HOTELERO GVR,HOTEL RIVI,IGNACIO PESQUEIRA #921,LOS NARANJOS,NAVOJOA,SON,85835,20,,,,
234469,1,2026-02-09,C09275,TURIFRESNO,HOTEL DEL FRESNO,AV. HIDALGO #109 SUR,CENTRO,FRESNILLO,ZAC,99000,2,,,,
234470,1,2026-02-09,C00030,INMO F,ALOFT GUADALAJARA SUR (GDLPU 5528),AV. PUNTO SUR 235,LOS GAVILANES,TLAJOMULCO DE ZUÑIGA,JAL,45645,3,,,,
234472,1,2026-02-09,C01687,PARADISE REAL DE GUADALAJARA,PARADISE REAL DE GUADALAJARA,PERIFERICO SUR No.7200,FRACC.INDUSTRIAL EL CAMINO,TLAQUEPAQUE,JAL,45601,12,,,,
234474,1,2026-02-09,C09639,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,BOULEVARD ADOLFO RUIZ CORTINES 1328,CAZONES,POZA RICA DE HIDALGO,VER,93230,12,,,,
234475,1,2026-02-09,C09639,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,BOULEVARD ADOLFO RUIZ CORTINES 1328,CAZONES,POZA RICA DE HIDALGO,VER,93230,2,,,,
234476,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234477,1,2026-02-09,C07190,OPERADORA SX DEL SURESTE,CITY JUNIOR MERIDA ALTABRISA (CJMID),CALLE 4 PERIFÉRICO ENTRE CALLE 7 Y 9C,SANTA RITA CHOLUL,MERIDA,YUC,97130,10,,,,
234478,1,2026-02-09,C07187,IMPULSORA PLAZA TIJUANA,CITY EXPRESS IRAPUATO (CEIRA),BLVD. VILLAS DE IRAPUATO No. 1362,EJIDO IRAPUATO,IRAPUATO,GTO,36643,11,,,,
234479,1,2026-02-09,C07317,IMPULSORA PLAZA VILLA HERMOSA,CITY EXPRESS LA PAZ (CELAP),CARRETERA LA PAZ - PICHILINGUE KM 2.5 S/N,LOMAS DE PALMIRA,LA PAZ,BCS,23010,15,,,,
234480,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,3,,,,
234481,1,2026-02-09,C01795,INMOBILIARIA CENTAURO DEL NORTE,HOTEL SANTA CRUZ,BLVD.FRANCISCO VILLA 100,FRACC. LAS AMERICAS,DURANGO,DUR,34200,14,,,,
234482,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,2,,,,
234483,1,2026-02-09,C01005,HOTELES MODERNOS,RAMADA PLAZA LEON,PORTAL BRAVO 14,CENTRO,LEON,GTO,37000,5,,,,
234487,1,2026-02-09,C08358,PAKEAH,"HILTON VALLARTA RIVIERA ALL-INCLUSIVE RESORT,PUERTO VALLARTA,MEXICO (PVRPA)",CARRETERA BARRA DE NAVIDAD KM 4.5,ZONA HOTELERA SUR,PUERTO VALLARTA,JAL,38390,11,,,,
234488,1,2026-02-09,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,9,,,,
234489,1,2026-02-09,C08489,DECAMERON,DECAMERON LOS COCOS,RETORNO LAS PALMAS S/N,SOL NUEVO,RINCON DE GUAYABITOS,NAY,63727,170,,,,
234490,1,2026-02-09,C08447,DECAMERON,DECAMERON COMPLEX A0157904,CALLE LAZARO CARDENAS 150,COLONIA LA DORADA,BUCERIAS,NAY,63732,60,,,,
234491,1,2026-02-09,C03826,OPERADORA ENCORE QUERETARO,ENCORE QUERETARO (EQRO),CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515,EL SALITRE,QUERETARO,QUE,76230,53,,,,
234492,1,2026-02-09,C08706,ESNEIDER FERNANDO TABARES CEBALLOS,ESNEIDER FERNANDO TABARES CEBALLO,CIRCUITO REAL SAN JOSE SUR No. 56,RESIDENCIAL PONIENTE,ZAPOPAN,JAL,45136,2,,,,
234493,1,2026-02-09,C06042,OPERADORA Y SERVICIOS OLINALA,HOTEL VILLAMAR PRINCESA,BLVD. CIRCUITO OLINALA LOTE 1,OLINALA PRINCESA,ACAPULCO,GRO,39890,3,,,,
234494,1,2026-02-09,C09218,MARGARITA RAMOS CEBALLOS,MARGARITA RAMOS CEBALLOS,CALLE MADERO #421,CENTRO,SALVATIERRA,GTO,38900,4,,,,
234495,1,2026-02-09,C07384,VANEMO,CITY EXPRESS TLALPAN (CETLA),CALZADA DE TLALPAN #1561,PORTALES,MEXICO,CMX,03300,20,,,,
234496,1,2026-02-09,C08706,ESNEIDER FERNANDO TABARES CEBALLOS,ESNEIDER FERNANDO TABARES CEBALLO,CIRCUITO REAL SAN JOSE SUR No. 56,RESIDENCIAL PONIENTE,ZAPOPAN,JAL,45136,2,,,,
234498,1,2026-02-09,C07991,ISLA BONITA INMOBILIARIA,COURTYARD MARRIOTT MERIDA A0165799,CALLE 33 A 504,CENTRO,MERIDA,YUC,97000,42,,,,
234499,1,2026-02-09,C00240,HOTEL VICTORIA DE POZA RICA,HOTEL VICTORIA,BLVD. ADOLFO RUIZ CORTINEZ # 1306,CAZONES,POZA RICA,VER,93230,3,,,,
234501,1,2026-02-09,C09411,OPERADORA HANNAHMAY,HOLIDAY INN CUERNAVACA (CVJMX),CALLE GALEANA 42,ACAPANTZINGO,CUERNAVACA,MOR,62440,5,,,,
234502,1,2026-02-09,C02470,PITEIRA,ROYAL AUTO HOTEL,BOULEVARD INSTITUTOS TECNOLOGICOS # 84,LA BOMBA,MINATITLAN,VER,96739,10,,,,
234503,1,2026-02-09,C09523,PLAZA DE LAS CONVENCIONES,HOTEL MISION XALAPA,AV 20 DE NOVIEMBRE 455,MODELO,XALAPA,VER,91040,10,,,,
234504,1,2026-02-09,C00069,HOTEL MESON DE LOS CRISTEROS,HOTEL MESON DE LOS CRISTEROS,REVOLUCION MEXICANA LOCAL 28,CENTRO,SAN MIGUEL EL ALTO,JAL,47142,4,,,,
234505,1,2026-02-09,C00069,HOTEL MESON DE LOS CRISTEROS,HOTEL MESON DE LOS CRISTEROS,REVOLUCION MEXICANA LOCAL 28,CENTRO,SAN MIGUEL EL ALTO,JAL,47142,2,,,,
234506,1,2026-02-09,C01783,MARCO ANTONIO GUERRERO NORIS,MG COMERCIALIZADORA,DE LOS ENEBROS No.449,LOS MANGOS II,MAZATLAN,SIN,82128,70,,,,
234507,1,2026-02-09,C00353,OPERADORA EMPORIO VERACRUZ,EMPORIO VERACRUZ,INSURGENTES VERACRUZANOS  210,FAROS,VERACRUZ,VER,91709,10,,,,
234508,1,2026-02-09,C08139,QP OPERADORA DE HOTELES,CITY EXPRESS XALAPA (CEJAL),BLVD. CRISTOBAL COLON No.391,AMPLIACION JARDINES DE LAS ANIMAS,XALAPA,VER,91190,14,,,,
234509,1,2026-02-09,C00875,ALCOVENDAS HOTELERA,MOTEL RIAZOR,AV VALLARTA  #6416,CD GRANJA,ZAPOPAN,JAL,45010,1,,,,
234510,3,2026-02-09,C09382,LUIS FERNANDO TENA AMAYA,LA CENTRAL,AV. PEDRO JOAQUIN ENTRE 21 Y 23 INT S/N,ANDRES Q. ROO,COZUMEL,QR,77664,6,,,,
234511,1,2026-02-09,C06539,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL POLANCO,CAMPOS ELISEOS 218,POLANCO,CIUDAD DE MEXICO,CMX,11560,63,,,,
234512,1,2026-02-10,C02016,IMPULSORA PLAZA DE ZACATECAS,CITY EXPRESS ZACATECAS (CEZCL),CALZADA HEROES DE CHAPULTEPEC No.1700,FRACC. CIUDAD ARGENTUM,ZACATECAS,ZAC,98047,13,,,,
234513,1,2026-02-10,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,12,,,,
234514,1,2026-02-10,C04082,TRITRISQUELES,RAMADA PLAZA VERACRUZ,AV.LAS AMERICAS 241,FRACC. DE LAS AMERICAS,BOCA DEL RIO,VER,94299,3,,,,
234515,1,2026-02-10,C09591,NOGUEIRA,ECONO EXPRESS HOTEL,CALZADA DE TLALPAN 1035,AMERICAS UNIDAS,ALC. BENITO JUAREZ,CMX,03610,3,,,,
234516,1,2026-02-10,C02063,SERVICIOS EXTERNOS PARA HOTELES,EMPORIO ACAPULCO,AV.COSTERA MIGUEL ALEMAN 121,FRACC. MAGALLANES,ACAPULCO DE JUAREZ,GRO,39670,25,,,,
234517,1,2026-02-10,C08538,OPERADORA DE NEGOCIOS E INMOBILIARIA AURORA,"HAMPTON AGUASCALIENTES AIRPORT, MEXICO (AGUHX)",CARRETERA PANAMERICANA KM 11.2,EJIDO DE PEÑUELAS,AGUASCALIENTES,AGS,20396,12,,,,
234518,1,2026-02-10,C09268,GRAN CASA BUSINESS HOTEL,"HAMPTON QUERETARO, JURIQUILLA (QROJQ)",BLVD. JURICA LA CAMPANA 914,RESIDENCIAL CALETTO,QUERETARO,QUE,76230,5,,,,
234519,1,2026-02-10,CF0044,TORRE CHAPALITA,"HAMPTON GUADALAJARA/EXPO, MEXICO (GDLEX)",AVENIDA DE LAS ROSAS 3030,CAMPO POLO CHAPALITA,ZAPOPAN,JAL,44500,15,,,,
234520,1,2026-02-10,C08383,OPERADORA DE HOTELES ITV,"HILTON GARDEN INN CHIHUAHUA, CHIHUAHUA, MEXICO (CUUCM)",CALLE DE LA JUVENTUD 5915 INTERIOR H,PREDIO LA CANTERA,CHIHUAHUA,CHI,31216,14,,,,
234521,1,2026-02-10,C05374,SANTURIN,"HAMPTON DURANGO, MEXICO (DGOHX)",Heroico Colegio Militar 101,Nueva Vizcaya,DURANGO,DUR,34080,10,,,,
234522,1,2026-02-10,C06539,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL POLANCO,CAMPOS ELISEOS 218,POLANCO,CIUDAD DE MEXICO,CMX,11560,5,,,,
234523,1,2026-02-10,C07083,HOTEL MONTENEGRO GDL,HOTEL ISABEL,JOSE GUADALUPE MONTENEGRO #1572,MODERNA,GUADALAJARA,JAL,44160,18,,,,
234524,1,2026-02-10,C09019,OPERADORA DEL BAJIO SUR,HOTEL NOITE,BLVD. ADOLFO LOPEZ MATEOS #2114,PARQUE MANZANARES,LEON,GTO,37510,12,,,,
234525,3,2026-02-10,C08678,FIDEICOMISO F/1596,TAPESTRY COLLECTION BY HILTON THE YUCATAN PLAYA DEL CARMEN (CZMPD),5TA AV. ENTRE CALLE 30 Y32,GONZALO GUERRERO,SOLIDARIDAD,QR,77720,8,,,,
234526,1,2026-02-10,C09012,HOTEL JBONE,ONE MORELIA,AV INSURGENTES 83,LOMAS DE HIDALGO,MORELIA,MCH,58240,4,,,,
234527,1,2026-02-10,C08275,OPERADORA HOTEL CENTRO HISTORICO,"HILTON MEXICO CITY/REFORMA, MEXICO (MEXRF)",JUAREZ 70,CENTRO,DELEGACION CUAUHTEMOC,CMX,06010,41,,,,
234528,1,2026-02-10,C07441,GIBALMI CONSORCIO EMPRESARIAL,HOTEL JF GRAND,AV JUAREZ 3309,LA PAZ A,PUEBLA,PUE,72160,4,,,,
234529,1,2026-02-10,C03678,OLGA LIDIA MOTA GALVEZ,OLGA LIDIA MOTA GALVEZ,J. GUADALUPE VAZQUEZ NO 17,CENTRO,AMECA,JAL,46600,10,,,,
234530,3,2026-02-10,C05237,SALVADOR ALFONSO SOLIS CASAS,ANGELOS HOTEL,AVENIDA 55 ESQUINA CALLE 6 NORTE MZ 201 LT1,EJIDAL,PLAYA DEL CARMEN,QR,77710,2,,,,
234531,1,2026-02-10,C08449,DESARROLLADORA GRAND HOTEL,COURTYARD LOS LAGOS SAN LUIS POTOSI A0153234,AV LOS LAGOS 105,LOS LAGOS,SAN LUIS POTOSI,SLP,78397,13,,,,
234532,1,2026-02-10,C09043,HOTEL DE SERVICIOS DE TEHUACAN,HOTEL CR,AV. REFORMA SUR #308,CENTRO,TEHUACAN,PUE,75700,10,,,,
234533,1,2026-02-10,C07427,ADRIANA ALVAREZ ALVAREZ,INSUMOS DEL NORTE,MANUEL J. CLOUTHIER #451-5,MARIA ISABEL,CD JUAREZ,CHI,32600,24,,,,
234534,1,2026-02-10,C07427,ADRIANA ALVAREZ ALVAREZ,INSUMOS DEL NORTE,MANUEL J. CLOUTHIER #451-5,MARIA ISABEL,CD JUAREZ,CHI,32600,1,,,,
234535,1,2026-02-10,C05944,DESARROLLOS TURISTICOS CLAMI,HOLIDAY INN MAZATLAN (MZTRS),PLAYA GAVIOTA #420,ZONA DORADA,MAZATLAN,SIN,82110,5,,,,
234536,1,2026-02-10,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234537,1,2026-02-10,C09608,AMERICA CAMPOS CHAGOYA,HOTEL ELSY,AV. PROL 5 DE MAYO #128,LA JOYITA,SILAO DE LA VICTORIA,GTO,36130,7,,,,
234538,1,2026-02-10,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234539,1,2026-02-10,C08119,CENTRAL HOTELERA DE AGUASCALIENTES,HOTEL LA CASCADA,BLVD. JOSE MARIA CHAVEZ #1942,CIUDAD INDUSTRIAL,AGUASCALIENTES,AGS,20290,8,,,,
234540,1,2026-02-10,C07427,ADRIANA ALVAREZ ALVAREZ,INSUMOS DEL NORTE,MANUEL J. CLOUTHIER #451-5,MARIA ISABEL,CD JUAREZ,CHI,32600,1,,,,
234541,1,2026-02-10,C03083,MAURICIO GUILLEN CASTELLANOS,HOTEL CASA DELINA,1A CALLE SUR PONIENTE # 6,CENTRO,COMITAN DE DOMINGUEZ,CHS,30000,3,,,,
234542,1,2026-02-10,C09331,HOTEL PLAZA DE ORO,HOTEL PLAZA DE ORO,HIDALGO PTE #461,MONTERREY CENTRO,MONTERREY,NL,64000,18,,,,
234543,1,2026-02-10,C05965,CHARTWELL DE NUEVO LAREDO,"HILTON MEXICO CITY-AIRPORT, MEXICO (MEXAH)",CAPITAN CARLOS LEON S/N 3ER PISO DE LA NUEVA TERMINAL AEREA INTERNACIONAL DE LA CIUDAD DE MEXICO,PEÑON DE LOS BAÑOS,MEXICO,CMX,15620,22,,,,
234544,1,2026-02-10,C07402,IMPULSORA PLAZA TIJUANA,CITY JUNIOR SULLIVAN (CJSUL),JAMES SULLIVAN #35,SAN RAFAEL,CIUDAD DE MEXICO,CMX,06470,13,,,,
234545,1,2026-02-10,C07427,ADRIANA ALVAREZ ALVAREZ,INSUMOS DEL NORTE,MANUEL J. CLOUTHIER #451-5,MARIA ISABEL,CD JUAREZ,CHI,32600,2,,,,
234546,3,2026-02-10,C03616,REPRESENTACIONES TURISTICAS MEXICO,BAHIA PRINCIPE,Entre Calle HOTEL OASIS AKUMAL Y Calle HACIENDA DOÑA ISABEL SN,Akumal,Tulum,QR,77776,50,,,,
234547,1,2026-02-10,C08742,JOSE DE JESUS EDGAR NORIEGA ARAIZA,POLIFIBRAS DE ZAPOPAN COMERCIALIZADORA,Carretera Tepic puerto Vallarta km 89,LA COMPOSTELA,LA PEÑITA DE JALTEMBA,NAY,63720,4,,,,
234548,1,2026-02-10,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,4,,,,
234549,1,2026-02-10,C02648,OPERADORA TURISTICA GOMARTI,HOTEL HACIENDA LA VENTA,RAMON CORRAL DE DIOS S/N,LA VENTA,SAN JUAN DEL RIO,QUE,76800,11,,,,
234550,1,2026-02-10,C05093,CERTESA EN PUERTO ESCONDIDO,HOTEL BLATER PUERTO ESCONDIDO,DEL MORRO SIN NUMERO SOBRE PLAYA ZICATELA,SANTA MARIA,SANTA MARIA COLOTEPEC,OAX,70934,28,,,,
234551,1,2026-02-10,C09529,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL MONTERREY,AV. BATALLON DE SAN PATRICIO 410,ZONA SAN AGUSTIN,SAN PEDRO GARZA GARCÍA,NL,66260,8,,,,
234552,1,2026-02-10,C06660,OPERADORA MSLP,MICROTEL SAN LUIS,AVENIDA BENITO JUAREZ #3963 C,LAS MERCEDES,SAN LUIS POTOSI,SLP,78394,4,,,,
234553,1,2026-02-10,C08691,DIAMANTE COMERCIALIZADORA DEL PACIFICO,BEST WESTERN GUADALAJARA,GRECIA 167,CENTRO,GUADALAJARA,JAL,44100,25,,,,
234554,1,2026-02-10,C01016,PROMOTORA HOTELERA DE VERACRUZ,HOLIDAY INN VERACRUZ (VCRMX),BLVD.ADOLFO RUIZ CORTINES 4298,FRACC COSTA DE ORO,BOCA DEL RIO,VER,94299,3,,,,
234555,1,2026-02-10,C05438,ECO HOTEL EJECUTIVO,ECO HOTEL EJECUTIVO,AV. LAZARO CARDENAS 2773,JARDINES DEL BOSQUE,GUADALAJARA,JAL,44520,9,,,,
234556,1,2026-02-10,C06384,OPERADORA HOTELERA AGSDTL,FAIRFIELD INN & SUITES AGUASCALIENTES,AV. PASEO SAN GERARDO No. 101,SAN GERARDO,AGUASCALIENTES,AGS,20348,22,,,,
234558,1,2026-02-10,C03428,OPERADORA ALRO,HOLIDAY INN BUENAVISTA (MEXBU),Mariano Azuela No. 12,Santa Maria La Ribera,CUAUHTEMOC,CMX,06400,10,,,,
234559,1,2026-02-10,C08766,MONTERREY HOSPITALITY SERVICES,"HILTON MONTERREY VALLE, MEXICO (MTYVO",AV FUNDADORES #1000,VALLE DEL MIRADOR,MONTERREY,NL,64750,17,,,,
234560,1,2026-02-10,C01474,HOTEL FLAMINGOS PLAZA,COURTYARD MEXICO CITY REVOLUCION,AV REVOLUCION #333,TACUBAYA,CDMX,CMX,11870,26,,,,
234561,1,2026-02-10,C00795,MOTEL AUTLAN,MOTEL AUTLAN DE NAVARRO,AV. REVOLUCION # 01,CENTRO,AUTLAN DE NAVARRO,JAL,48900,6,,,,
234562,1,2026-02-10,C00568,HOTEL MALIBU,HOTEL MALIBU,AV.VALLARTA 3993,DON BOSCO VALLARTA,ZAPOPAN,JAL,45049,12,,,,
234563,1,2026-02-10,C05364,MARIA ALICIA ALCARAZ PRECIADO,BUNGALOWS ALCARAZ,BLVD CALLE DOS NUMERO 3,COLINAS DE SANTIAGO,MANZANILLO,COL,28860,3,,,,
234564,1,2026-02-10,C04584,FIDEICOMISO IRREVOCABLE DB/1616,WYNDHAM CHIHUAHUA/CASA GRANDE (CUUWY),AV. TECNOLOGICO 4702,LAS GRANJAS,CHIHUAHUA,CHI,31160,6,,,,
234565,1,2026-02-10,CP0048,CONSORCIO ESPAMEX OBLATOS,MOTEL DREAMS,AV. CIRCUNVALACIÓN No.1680,SANTA MARIA,GUADALAJARA,JAL,44350,10,,,,
234566,1,2026-02-10,C09435,HOTEL FORNOS,KALI HOTELES,REVILLAGIGEDO 92,CENTRO AREA 7,CUAUHTEMOC,CMX,06070,23,,,,
234567,1,2026-02-10,C01133,Z G HOTELES,HOTEL MESON EJECUTIVO,AVENIDA MEXICO No. 2747,VALLARTA NORTE,GUADALAJARA,JAL,44690,2,,,,
234568,1,2026-02-10,C07298,ALMACENES PALACE RESORTS,LE BLANC CABOS,KM 18.4 CARRETERA TRANSPENINSULAR SJC-CSL,LOMAS DEL TULE,SAN  JOSE DEL CABO,BCS,23405,28,,,,
234569,1,2026-02-10,C06223,HOTELES ATM,"HAMPTON CELAYA, MEXICO (CYWCM)",EJE NORTE ORIENTE 223,RIVERAS DEL CAMPESTRE,CELAYA,GTO,38080,6,,,,
234570,1,2026-02-10,C05222,INMOBILIARIA PENINSULAR DG,"HAMPTON VILLAHERMOSA, TABASCO, MEXICO (VSATA)",AV PROLONGACION 27 DE FEBRERO NO 2804,ATASTA DE SERRA,VILLAHERMOSA,TAB,86100,19,,,,
234571,1,2026-02-10,C03147,HOTEL SI CIUDAD DE MEXICO SENDERO,SLEEP INN MEXICO (143224),CARR MEXICO TOLUCA 5454,EL YAQUI,MEXICO,CMX,05320,6,,,,
234572,1,2026-02-10,C03147,HOTEL SI CIUDAD DE MEXICO SENDERO,SLEEP INN MEXICO (143224),CARR MEXICO TOLUCA 5454,EL YAQUI,MEXICO,CMX,05320,4,,,,
234580,1,2026-02-10,C03073,INSUMOS HALCON,COURTYARD MARRIOTT SAN LUIS POTOSI A0152894,AV. BENITO JUAREZ 1230 B (CARRETERA 57),VALLE DORADO,SAN LUIS POTOSI,SLP,78399,16,,,,
234581,1,2026-02-10,C04584,FIDEICOMISO IRREVOCABLE DB/1616,WYNDHAM CHIHUAHUA/CASA GRANDE (CUUWY),AV. TECNOLOGICO 4702,LAS GRANJAS,CHIHUAHUA,CHI,31160,4,,,,
234582,1,2026-02-10,C08706,ESNEIDER FERNANDO TABARES CEBALLOS,ESNEIDER FERNANDO TABARES CEBALLO,CIRCUITO REAL SAN JOSE SUR No. 56,RESIDENCIAL PONIENTE,ZAPOPAN,JAL,45136,28,,,,
234583,1,2026-02-10,C09496,PROYECTOS E INVERSIONES TURISTICAS,HOTEL PARAISO EXPRESS,CALLE DIAGONAL REFORMA OTE 3620,CENTRO,TORREON COAHUILA,COA,27000,5,,,,
234584,1,2026-02-10,C07304,IMPULSORA PLAZA JUAREZ,CITY EXPRESS MONTERREY AEROPUERTO (CEMTA),KAPPA #5028,PARQUE INDUSTRIAL MILENIUM,APODACA,NL,66600,12,,,,
234585,1,2026-02-10,C07304,IMPULSORA PLAZA JUAREZ,CITY EXPRESS MONTERREY AEROPUERTO (CEMTA),KAPPA #5028,PARQUE INDUSTRIAL MILENIUM,APODACA,NL,66600,1,,,,
234586,1,2026-02-10,C03445,HOTELES BACAL,HOTEL ZAR LA PAZ,BVLD CONSTITUYENTES #4015,BENITO JUAREZ,LA PAZ,BCS,23300,25,,,,
234587,1,2026-02-10,C02514,HOTEL ROYAL PLAZA,HOLIDAY INN MEXICO PLAZA UNIVERSIDAD A0210800 (MEXAA),PARROQUIA 1056 ENTRADA APROVEEDORES A ESPALDAS,SANTA CRUZ ATOYAC,MEXICO,CMX,03310,1,,,,
234590,1,2026-02-11,C09592,JAVIER ALEJANDRO GARCIA CORTES,ESCENCIA HOTELERA,SANTO DOMINGO 2,PLAYA AZUL SALAGUA,MANZANILLO,COL,28218,18,,,,
234591,1,2026-02-11,C09592,JAVIER ALEJANDRO GARCIA CORTES,ESCENCIA HOTELERA,SANTO DOMINGO 2,PLAYA AZUL SALAGUA,MANZANILLO,COL,28218,3,,,,
234592,1,2026-02-11,C09592,JAVIER ALEJANDRO GARCIA CORTES,ESCENCIA HOTELERA,SANTO DOMINGO 2,PLAYA AZUL SALAGUA,MANZANILLO,COL,28218,1,,,,
234593,1,2026-02-11,C05514,FIDEICOMISO F/1596,FAIRFIELD INN BY MARRIOTT VILLAHERMOSA,CIRCUITO INTERIOR CARLOS PELLICER CAMARA #5202,JOSE MARIA PINO SUAREZ,VILLAHERMOSA,TAB,86029,12,,,,
234594,1,2026-02-11,C08323,TURISTICA ARIZONA,HOLIDAY INN EXPRESS SAN LUIS POTOSI A0201813 (SLPMV),AV BENITO JUAREZ 1270,VALLE DORADO,SAN LUIS POTOSI,SLP,78399,2,,,,
234595,1,2026-02-11,C01365,PERLA TAPATIA,HOTEL MORALES,AVENIDA CORONA #243,CENTRO,GUADALAJARA,JAL,44100,25,,,,
234597,1,2026-02-11,C04501,BCO HUATULCO,BARCELO HUATULCO,BOULEVARD BENITO JUAREZ S/N,ZONA HOTELERA TANGOLUNDA SANTA CRUZ,HUATULCO,OAX,70987,1,,,,
234598,1,2026-02-11,C02299,FJH HOTELEROS,EJECUTIVO EXPRESS,AV.MEXICO No.2920,TERRANOVA,GUADALAJARA,JAL,44689,7,,,,
234599,1,2026-02-11,C07280,IMPULSORA PLAZA JUAREZ,CITY EXPRESS MONTERREY SANTA CATARINA (CEMTY),CARR. MONTERREY SALTILLO #1135,PUERTA DE LAS MITRAS,SANTA CATARINA,NL,66350,22,,,,
234600,1,2026-02-11,C07608,IMPULSORA PLAZA CELAYA,CITY EXPRESS PLUS EBC REFORMA (CEEBC),HAVRE #21,JUAREZ,CIUDAD DE MEXICO,DF2,06600,1,,,,
234601,3,2026-02-11,C09029,GRAND FIFTY SUITES,FIFTY SUITES,50 NORTE ENTRE 1A Y 5A,LUIS DONALDO COLOSIO,SOLIDARIDAD,QR,77710,2,,,,
234602,1,2026-02-11,C07608,IMPULSORA PLAZA CELAYA,CITY EXPRESS PLUS EBC REFORMA (CEEBC),HAVRE #21,JUAREZ,CIUDAD DE MEXICO,DF2,06600,3,,,,
234603,1,2026-02-11,C08413,USSU DESARROLLOS,"DOUBLETREE CELAYA, MEXICO (CYWCE)",BOULEVARD ADOLFO LOPEZ MATEOS OTE 1260,LAS INSURGENTES,CELAYA,GTO,38080,11,,,,
234604,1,2026-02-11,C06709,HOTEL POSADA VIRREYES,HOTEL POSADA VIRREYES,AV.LAZARO CARDENAS #340 INT A,ALAMO ORIENTE,TLAQUEPAQUE,JAL,45560,3,,,,
234605,1,2026-02-11,C09636,OPERADORA TURISTICA ALBAR,HOTEL DE AUTOR BARUK GDL,LAZARO CARDENAS 3447,JARDINES DE LOS ARCOS,GUADALAJARA,JAL,44500,4,,,,
234606,1,2026-02-11,C07242,IMPULSORA PLAZA JUAREZ,CITY EXPRESS SALAMANCA (CESLM),BLVD. FAJA DE ORO #1805,EL PIRUL,SALAMANCA,GTO,36740,10,,,,
