FECHA DE FACTURA,FACTURA,RECOMENDACIÓN,DIRECCION,NO CLIENTE,RAZON SOCIAL,NOMBRE COMERCIAL,
10/12/2025,173,," LATERAL AUTOPISTA MEXICO QUERETARO #2103   ESTRELLAQUERETARO,76030, QUEMX ",C07278, IMPULSORA PLAZA JUAREZ , CITY EXPRESS QUERETARO (CEQRO) ,
10/12/2025,174,," CARRETERA LA PAZ - PICHILINGUE KM 2.5 S/N   LOMAS DE PALMIRALA PAZ,23010, BCSMX ",C07317, IMPULSORA PLAZA VILLA HERMOSA , CITY EXPRESS LA PAZ (CELAP) ,
10/12/2025,175,," BLVD.INSTITUTOS TECNOLOGICOS KM.711 MZA 28 LT 39   MORELOSMINATITLAN,96760, VERMX ",C02295, IMPULSORA PLAZA MINATITLAN , CITY EXPRESS MINATITLAN (CEMTT) ,
10/12/2025,176,," PORTAL BRAVO 14   CENTROLEON,37000, GTOMX ",C01005, HOTELES MODERNOS , RAMADA PLAZA LEON ,
10/12/2025,177,," AVENIDA 5 DE FEBRERO 110 BIS   NIÑOS HEROESQUERETARO,76010, QUEMX ",C04552, HOTELERA QUERETANA , HOLIDAY INN EXPRESS & SUITES QUERETARO (MQERG) ,
11/12/2025,178,," BLVD MANUEL AVILA CAMACHO LOTE 5   COSTA DE ORO 1ERA SECCIONBOCA DEL RIO VERACRUZ,94299, VERMX ",C08464, PROMOTORA PLATINIUM , GARDEN INN BOCA DEL RIO VERACRUZ (VERBR) ,
11/12/2025,179,," PERIFERICO RAUL LOPEZ SANCHEZ #5500   EL FRESNOTORREON,27018, COAMX ",C02413, SINERGIA INMOBILIARIA DE MEXICO , CITY EXPRESS TORREON (CETRC) ,
11/12/2025,180,," AV SALVADOR NAVA 3105   COLINAS DEL PARQUESAN LUIS POTOSI,78294, SLPMX ",C08543, HOSPITALIDAD LA TENERIA , HAMPTON INN SAN LUIS POTOSI ,
11/12/2025,181,," CALZADA NIÑOS HEROES DE CHAPULTEPEC  #300   CENTROOAXACA DE JUAREZ,68000, OAXMX ",C07156, PROMOTORA TURISTICA DE OAXACA , CITY EXPRESS OAXACA (CEOAX) ,
11/12/2025,182,," PERIFERICO PASEO DE LA REPUBLICA SECTOR ESPAÑA 3466   EJIDAL OCOLUSENMORELIA,58295, MCHMX ",C00472, OPERADORA FORSA , HOLIDAY INN MORELIA A0200839 (MLMFO) ,
11/12/2025,183,," BLVD. CARLOS SALINAS DE GORTARI # 301 PTE   APODACA CENTROCIUDAD APODACA,66600, NLMX ",C07957, OPERADORA HOTELERA PUEBLA , ENCORE MONTERREY ,
11/12/2025,184,," LATERAL DEL ANILLO PERIFERICO #1230   SAN FRANCISCO  OCOTLANCORONANGO,72680, PUEMX ",C05818, OPERADORA HOTELERA PUEBLA , RAMADA ENCORE PUEBLA A0191476 ,
11/12/2025,185,," AV TEPIC NORTE 473   MEZCALESBAHIA DE BANDERAS,63732, NAYMX ",C01774, GEORGINA GUADALUPE VILLASEÑOR DEL CASTILLO , HOTEL STORE PUERTO VALLARTA ,
11/12/2025,186,," DE LOS ENEBROS No.449   LOS MANGOS IIMAZATLAN,82128, SINMX ",C01783, MARCO ANTONIO GUERRERO NORIS , MG COMERCIALIZADORA ,
11/12/2025,187,," AV LOS LAGOS 105   LOS LAGOSSAN LUIS POTOSI,78397, SLPMX ",C08449, DESARROLLADORA GRAND HOTEL , COURTYARD LOS LAGOS SAN LUIS POTOSI A0153234 ,
11/12/2025,188,," AV. JOSE MARIA CHAVEZ 1512   JARDINES DE LA ASUNCIONAGUASCALIENTES,20270, AGSMX ",C08562, EDCO TURISMO AGUASCALIENTES , HAMPTON INN DOWNTOWN AGUASCALIENTES (AGUMX) ,
11/12/2025,189,," CALLE 20 A POR 3 C Y 5 A NUMERO 288   XCUMPICHMERIDA,97204, YUCMX ",C08540, INMOBILIARIA PENINSULAR DG , HAMPTON INN MERIDA (MIDHX) ,
11/12/2025,190,," AV. BENITO JUAREZ #3963   LAS MERCEDESSAN LUIS POTOSI,78394, SLPMX ",C04260, OPERADORA HOTELERA SLP , ENCORE SAN LUIS A0191479 ,
11/12/2025,191,," Zona Aeropuerto SALTILLO-JARDINES COLONIALES   Carretera Saltillo-Monterrey 6580Saltillo,25270, COAMX ",C05942, FIDEICOMISO IRREVOCABLE DB/1616 , HAMPTON INN SALTILLO(SLWHA) ,
11/12/2025,192,," AV. PERSEO ORIENTE 2502   SAN MARTINITOSAN ANDRES CHOLULA,72825, PUEMX ",C08871, ESTANCIA & CONFORT DE ANGELES , HOLIDAY INN EXPRESS & SUITES PUEBLA ANGELOPOLIS  (PUEAN) ,
11/12/2025,193,," Paseo Tollocan 818   Santa Ana TlapaltitlanToluca de Lerdo,50160, MEXMX ",C04593, FIDEICOMISO IRREVOCABLE DB/1616 , HOLIDAY INN EXPRESS TOLUCA TOLLOCAN (TLUDR) ,
11/12/2025,194,," AV LOS HEROES #201   CENTRO CIVICOMEXICALI,21000, BCMX ",CF0058, FIDEICOMISO F/1596 , REAL INN MEXICALI ,
12/12/2025,195,," PERIFERICO PASEO DE LA REPUBLICA No.5000   EJIDAL OCOLUSENMORELIA,58295, MCHMX ",C00112, FORSA EXPRESS , HOLIDAY INN EXPRESS MORELIA (MLMRA) A0200840 ,
12/12/2025,196,," VENUSTIANO CARRANZA # 315   ZONA CENTROSAN LUIS POTOSI,78000, SLPMX ",C00699, INVERSIONES POTOSINAS , HOTEL PANORAMA ,
12/12/2025,197,," BLVD EL GRECO # 45   EL GRECONOGALES,84066, SONMX ",C06605, FIDEICOMISO F/1596 , FAIRFIELD MARRIOT NOGALES A0097801 ,
12/12/2025,198,," BOULEVARD LA CALZADA No 33   LA CALZADATUXPAN,92773, VERMX ",C02600, GRUPO INMOBILIARIO RICSHER , HOLIDAY INN TUXPAN (PAZTU) ,
12/12/2025,199,," LIBRAMIENTO NORTE 3350   LA JOYASILAO,36169, GTOMX ",C08297, OPERADORA DE HOTELES ISTAY SILAO , GARDEN INN SILAO AEROPUERTO (BJXBA) ,
12/12/2025,200,," AV. SAN JERONIMO 1082   SAN JERONIMOMONTERREY,64640, NLMX ",C05844, OPERADORA DE HOTELES GALERIAS , HOLIDAY INN EXPRESS SAN JERONIMO(MILENIUM) (MTYSJ) ,
12/12/2025,201,," BOULEVARD BENITO JUAREZ 2151   INSURGENTES ESTEMEXICALI,21280, BCMX ",C03092, COMPAÑIA MEXICANA DE INVERSIONES TURISTICAS , HOTEL LUCERNA MEXICALI ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
